timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-08 17:45:31.705,mrleo-pod-be-9,Succeeded,minikube-m07,minikube-m07,159,0,15247
2024-12-08 17:45:32.488,mrleo-pod-gu-7,Succeeded,minikube-m04,minikube-m04,167,0,14283
2024-12-08 17:45:32.602,mrleo-pod-gu-20,Succeeded,minikube,minikube,186,0,15546
2024-12-08 17:45:32.631,mrleo-pod-be-9,Succeeded,minikube-m04,minikube-m04,159,0,15312
2024-12-08 17:45:32.663,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,17052
2024-12-08 17:45:33.148,mrleo-pod-gu-7,Succeeded,minikube-m06,minikube-m06,167,0,18605
2024-12-08 17:45:33.384,mrleo-pod-gu-20,Succeeded,minikube-m02,minikube-m02,186,0,17164
2024-12-08 17:45:33.402,mrleo-pod-be-10,Succeeded,minikube-m07,minikube-m07,113,0,18967
2024-12-08 17:45:33.781,mrleo-pod-be-8,Succeeded,minikube-m07,minikube-m07,295,0,19881
2024-12-08 17:45:34.352,mrleo-pod-be-15,Succeeded,minikube-m02,minikube-m02,120,0,15714
2024-12-08 17:45:34.431,julius-pod-bu-5,Succeeded,minikube-m06,minikube-m06,203,0,18068
2024-12-08 17:45:34.818,julius-pod-bu-5,Succeeded,minikube-m04,minikube-m04,203,0,19280
2024-12-08 17:45:34.871,julius-pod-be-2,Succeeded,minikube-m08,minikube-m08,255,0,18507
2024-12-08 17:45:34.884,mrleo-pod-be-8,Succeeded,minikube-m07,minikube-m07,295,0,19421
2024-12-08 17:45:34.939,mrleo-pod-be-15,Succeeded,minikube-m08,minikube-m08,120,0,19587
2024-12-08 17:45:35.068,julius-pod-bu-3,Succeeded,minikube-m07,minikube-m07,465,0,23851
2024-12-08 17:45:35.101,mrleo-pod-gu-19,Succeeded,minikube-m04,minikube-m04,133,0,19103
2024-12-08 17:45:35.722,julius-pod-be-2,Succeeded,minikube-m08,minikube-m08,255,0,18264
2024-12-08 17:45:35.894,julius-pod-bu-3,Succeeded,minikube-m08,minikube-m08,465,0,17476
2024-12-08 17:45:36.082,mrleo-pod-gu-19,Succeeded,minikube-m06,minikube-m06,133,0,19190
2024-12-08 17:45:36.143,julius-pod-be-12,Succeeded,minikube-m06,minikube-m06,186,0,19188
2024-12-08 17:45:36.319,mrleo-pod-be-32,Succeeded,minikube-m02,minikube-m02,161,0,19781
2024-12-08 17:45:36.484,julius-pod-bu-22,Succeeded,minikube-m08,minikube-m08,281,0,23382
2024-12-08 17:45:36.515,mrleo-pod-gu-17,Succeeded,minikube-m08,minikube-m08,128,0,22785
2024-12-08 17:45:36.932,julius-pod-be-12,Succeeded,minikube-m08,minikube-m08,186,0,23231
2024-12-08 17:45:37.105,mrleo-pod-be-32,Succeeded,minikube-m03,minikube-m03,161,0,17702
2024-12-08 17:45:37.256,julius-pod-bu-22,Succeeded,minikube-m08,minikube-m08,281,0,19119
2024-12-08 17:45:37.265,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m04,129,41,15892
2024-12-08 17:45:37.303,mrleo-pod-gu-17,Succeeded,minikube-m04,minikube-m04,128,0,23973
2024-12-08 17:45:37.547,mrleo-pod-bu-36,Succeeded,minikube-m03,minikube-m07,75,26,14485
2024-12-08 17:45:37.620,julius-pod-bu-24,Succeeded,minikube-m06,minikube-m06,193,0,19704
2024-12-08 17:45:38.024,mrleo-pod-gu-33,Succeeded,minikube-m06,minikube,129,41,17371
2024-12-08 17:45:38.425,julius-pod-bu-24,Succeeded,minikube-m04,minikube-m04,193,0,19614
2024-12-08 17:45:38.644,mrleo-pod-bu-36,Succeeded,minikube-m08,minikube,75,26,17333
2024-12-08 17:45:38.655,julius-pod-be-28,Succeeded,minikube,minikube,209,0,23827
2024-12-08 17:45:38.697,julius-pod-be-34,Succeeded,minikube-m08,minikube-m08,345,0,19037
2024-12-08 17:45:38.811,julius-pod-be-30,Succeeded,minikube,minikube,226,0,23614
2024-12-08 17:45:39.493,julius-pod-be-28,Succeeded,minikube-m07,minikube-m07,209,0,23277
2024-12-08 17:45:39.532,julius-pod-be-34,Succeeded,minikube-m06,minikube-m06,345,0,25414
2024-12-08 17:45:39.693,julius-pod-be-30,Succeeded,minikube-m02,minikube-m02,226,0,22811
2024-12-08 17:45:39.710,julius-pod-be-31,Succeeded,minikube,minikube,136,0,18877
2024-12-08 17:45:39.969,julius-pod-gu-27,Succeeded,minikube-m05,minikube-m05,245,0,19925
