timestamp,node_name,CPU,RAM,storage
2024-12-11 10:05:01.194066,minikube,0.0,0.0,0.0
2024-12-11 10:05:01.194066,minikube-m02,0.0,0.0,0.0
2024-12-11 10:05:01.194066,minikube-m03,0.0,0.0,0.0
2024-12-11 10:05:01.194066,minikube-m04,0.0,0.0,0.0
2024-12-11 10:05:01.194066,minikube-m05,0.5,0.9,0.9
2024-12-11 10:05:01.194066,minikube-m06,0.6000000000000001,1.7000000000000002,1.0
2024-12-11 10:05:01.194066,minikube-m07,1.1,1.2000000000000002,1.2000000000000002
2024-12-11 10:05:01.194066,minikube-m08,2.0,1.9000000000000001,0.7000000000000001
2024-12-11 10:05:01.753057,minikube,0.0,0.0,0.0
2024-12-11 10:05:01.753057,minikube-m02,0.0,0.0,0.0
2024-12-11 10:05:01.753057,minikube-m03,0.0,0.0,0.0
2024-12-11 10:05:01.753057,minikube-m04,0.0,0.0,0.0
2024-12-11 10:05:01.753057,minikube-m05,0.6000000000000001,1.9000000000000001,2.0
2024-12-11 10:05:01.753057,minikube-m06,1.2000000000000002,2.1,2.5
2024-12-11 10:05:01.753057,minikube-m07,0.30000000000000004,1.1,0.30000000000000004
2024-12-11 10:05:01.753057,minikube-m08,1.9000000000000001,0.8,0.0
2024-12-11 10:05:02.373512,minikube,12.0,18.75,9.0
2024-12-11 10:05:02.373512,minikube-m02,8.75,15.625,9.0
2024-12-11 10:05:02.373512,minikube-m03,15.0,21.875,13.0
2024-12-11 10:05:02.373512,minikube-m04,6.25,6.25,4.0
2024-12-11 10:05:02.373512,minikube-m05,12.0,21.25,10.7
2024-12-11 10:05:02.373512,minikube-m06,9.75,17.625,10.7
2024-12-11 10:05:02.373512,minikube-m07,15.4,22.475,13.3
2024-12-11 10:05:02.373512,minikube-m08,6.45,7.75,4.5
2024-12-11 10:05:03.061510,minikube,24.25,34.375,17.5
2024-12-11 10:05:03.061510,minikube-m02,17.5,31.25,18.0
2024-12-11 10:05:03.061510,minikube-m03,15.0,21.875,13.0
2024-12-11 10:05:03.061510,minikube-m04,6.25,6.25,4.0
2024-12-11 10:05:03.061510,minikube-m05,25.85,36.675,19.4
2024-12-11 10:05:03.061510,minikube-m06,19.5,33.35,20.2
2024-12-11 10:05:03.061510,minikube-m07,16.8,21.875,14.5
2024-12-11 10:05:03.061510,minikube-m08,6.95,8.45,4.8
2024-12-11 10:05:03.842641,minikube,48.5,68.75,35.0
2024-12-11 10:05:03.842641,minikube-m02,17.5,31.25,18.0
2024-12-11 10:05:03.842641,minikube-m03,21.25,28.125,17.0
2024-12-11 10:05:03.842641,minikube-m04,21.25,28.125,17.0
2024-12-11 10:05:03.842641,minikube-m05,50.5,70.05,36.8
2024-12-11 10:05:03.842641,minikube-m06,18.2,32.35,18.1
2024-12-11 10:05:03.842641,minikube-m07,22.15,28.725,19.2
2024-12-11 10:05:03.842641,minikube-m08,22.65,30.025,19.1
2024-12-11 10:05:04.686013,minikube,54.49999999999999,78.125,39.5
