timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-06 20:44:00.923,aeneas-pod-bu-1,Pending,minikube-m03,minikube-m03,322,0,
2024-12-06 20:44:00.933,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 20:44:00.938,aeneas-pod-bu-1,Pending,minikube-m03,minikube-m03,322,0,
2024-12-06 20:44:00.946,julius-pod-bu-5,Pending,minikube-m03,minikube-m03,203,0,
2024-12-06 20:44:00.951,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 20:44:00.972,julius-pod-bu-5,Pending,minikube-m03,minikube-m03,203,0,
2024-12-06 20:44:00.976,mrleo-pod-gu-7,Pending,minikube-m02,minikube-m02,167,0,
2024-12-06 20:44:00.979,mrleo-pod-be-9,Pending,minikube-m03,minikube-m03,159,0,
2024-12-06 20:44:00.988,mrleo-pod-gu-7,Pending,minikube-m02,minikube-m02,167,0,
2024-12-06 20:44:00.993,mrleo-pod-be-9,Pending,minikube-m03,minikube-m03,159,0,
2024-12-06 20:44:00.996,aeneas-pod-be-11,Pending,minikube-m04,minikube-m04,575,0,
2024-12-06 20:44:00.999,aeneas-pod-be-11,Pending,minikube-m04,minikube-m04,575,0,
2024-12-06 20:44:01.608,julius-pod-be-2,Pending,minikube-m04,minikube-m04,255,0,
2024-12-06 20:44:01.640,julius-pod-be-2,Pending,minikube-m04,minikube-m04,255,0,
2024-12-06 20:44:01.654,aeneas-pod-gu-6,Pending,minikube-m02,minikube-m02,516,0,
2024-12-06 20:44:01.665,aeneas-pod-gu-6,Pending,minikube-m02,minikube-m02,516,0,
2024-12-06 20:44:01.689,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 20:44:01.696,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 20:44:02.003,mrleo-pod-be-9,Running,minikube-m03,minikube-m03,159,0,
2024-12-06 20:44:02.020,julius-pod-bu-5,Running,minikube-m03,minikube-m03,203,0,
2024-12-06 20:44:02.030,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 20:44:02.034,aeneas-pod-bu-1,Running,minikube-m03,minikube-m03,322,0,
2024-12-06 20:44:02.285,aeneas-pod-be-4,Pending,minikube-m03,minikube-m03,463,0,
2024-12-06 20:44:02.313,aeneas-pod-be-4,Pending,minikube-m03,minikube-m03,463,0,
2024-12-06 20:44:02.320,julius-pod-be-12,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 20:44:02.336,aeneas-pod-be-14,Pending,minikube-m04,minikube-m04,482,0,
2024-12-06 20:44:02.352,julius-pod-be-12,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 20:44:02.366,aeneas-pod-bu-16,Pending,minikube-m04,minikube-m04,387,0,
2024-12-06 20:44:02.391,aeneas-pod-be-14,Pending,minikube-m04,minikube-m04,482,0,
2024-12-06 20:44:02.405,aeneas-pod-bu-16,Pending,minikube-m04,minikube-m04,387,0,
2024-12-06 20:44:02.408,aeneas-pod-be-18,Pending,minikube-m04,minikube-m04,558,0,
2024-12-06 20:44:02.429,aeneas-pod-be-18,Pending,minikube-m04,minikube-m04,558,0,
2024-12-06 20:44:02.431,mrleo-pod-gu-20,Pending,minikube-m03,minikube-m04,186,41,
2024-12-06 20:44:02.445,mrleo-pod-gu-20,Pending,minikube-m03,minikube-m04,186,41,
2024-12-06 20:44:02.448,julius-pod-bu-22,Pending,minikube-m03,minikube-m03,281,0,
2024-12-06 20:44:02.468,julius-pod-bu-22,Pending,minikube-m03,minikube-m03,281,0,
2024-12-06 20:44:02.476,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 20:44:02.480,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 20:44:02.578,aeneas-pod-gu-6,Running,minikube-m02,minikube-m02,516,0,
2024-12-06 20:44:02.592,mrleo-pod-gu-7,Running,minikube-m02,minikube-m02,167,0,
2024-12-06 20:44:02.686,aeneas-pod-be-11,Running,minikube-m04,minikube-m04,575,0,
2024-12-06 20:44:02.698,julius-pod-be-2,Running,minikube-m04,minikube-m04,255,0,
2024-12-06 20:44:03.061,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 20:44:03.200,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 20:44:03.224,mrleo-pod-be-15,Pending,minikube-m03,minikube-m03,120,0,
2024-12-06 20:44:03.230,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 20:44:03.234,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 20:44:03.278,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 20:44:03.291,aeneas-pod-be-23,Pending,minikube-m03,minikube-m03,323,0,
2024-12-06 20:44:03.295,mrleo-pod-be-15,Pending,minikube-m03,minikube-m03,120,0,
2024-12-06 20:44:03.301,aeneas-pod-be-23,Pending,minikube-m03,minikube-m03,323,0,
2024-12-06 20:44:03.767,aeneas-pod-be-18,Running,minikube-m04,minikube-m04,558,0,
2024-12-06 20:44:03.828,julius-pod-be-12,Running,minikube-m04,minikube-m04,186,0,
2024-12-06 20:44:03.834,aeneas-pod-be-14,Running,minikube-m04,minikube-m04,482,0,
2024-12-06 20:44:03.867,aeneas-pod-bu-16,Running,minikube-m04,minikube-m04,387,0,
2024-12-06 20:44:04.030,aeneas-pod-bu-13,Pending,minikube-m02,minikube-m02,464,0,
2024-12-06 20:44:04.056,aeneas-pod-bu-21,Pending,minikube-m03,minikube-m03,399,0,
2024-12-06 20:44:04.062,aeneas-pod-bu-13,Pending,minikube-m02,minikube-m02,464,0,
2024-12-06 20:44:04.087,aeneas-pod-bu-21,Pending,minikube-m03,minikube-m03,399,0,
2024-12-06 20:44:04.100,aeneas-pod-be-26,Pending,minikube-m04,minikube-m04,300,0,
2024-12-06 20:44:04.129,aeneas-pod-be-26,Pending,minikube-m04,minikube-m04,300,0,
2024-12-06 20:44:04.133,julius-pod-be-28,Pending,minikube-m03,minikube-m03,209,0,
2024-12-06 20:44:04.136,julius-pod-be-30,Pending,minikube,minikube,226,0,
2024-12-06 20:44:04.141,julius-pod-be-28,Pending,minikube-m03,minikube-m03,209,0,
2024-12-06 20:44:04.147,julius-pod-be-30,Pending,minikube,minikube,226,0,
2024-12-06 20:44:04.186,mrleo-pod-be-32,Pending,minikube-m02,minikube,161,21,
2024-12-06 20:44:04.204,mrleo-pod-be-32,Pending,minikube-m02,minikube,161,21,
2024-12-06 20:44:04.214,julius-pod-be-34,Pending,minikube-m02,minikube-m02,345,0,
2024-12-06 20:44:04.226,mrleo-pod-be-8,Running,minikube,minikube,295,0,
2024-12-06 20:44:04.233,julius-pod-be-34,Pending,minikube-m02,minikube-m02,345,0,
2024-12-06 20:44:04.238,julius-pod-bu-24,Running,minikube,minikube,193,0,
2024-12-06 20:44:04.244,mrleo-pod-gu-19,Running,minikube,minikube,133,0,
2024-12-06 20:44:04.248,aeneas-pod-be-4,Running,minikube-m03,minikube-m03,463,0,
2024-12-06 20:44:04.254,mrleo-pod-be-15,Running,minikube-m03,minikube-m03,120,0,
2024-12-06 20:44:04.260,mrleo-pod-gu-20,Running,minikube-m03,minikube-m04,186,41,
2024-12-06 20:44:04.343,julius-pod-bu-22,Running,minikube-m03,minikube-m03,281,0,
2024-12-06 20:44:05.155,mrleo-pod-gu-17,Pending,minikube-m04,minikube-m03,128,41,
2024-12-06 20:44:05.195,mrleo-pod-gu-17,Pending,minikube-m04,minikube-m03,128,41,
