timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 15:41:49.708,mrleo-pod-gu-385,Running,minikube,minikube,86,0
2024-06-11 15:41:49.748,mrleo-pod-gu-399,Running,minikube,minikube,75,0
2024-06-11 15:41:50.964,mrleo-pod-gu-399,Succeeded,minikube,minikube,75,0
2024-06-11 15:41:51.012,mrleo-pod-gu-385,Succeeded,minikube,minikube,86,0
2024-06-11 15:41:51.865,mrleo-pod-gu-385,Succeeded,minikube,minikube,86,0
2024-06-11 15:41:51.950,mrleo-pod-gu-399,Succeeded,minikube,minikube,75,0
2024-06-11 15:41:52.366,julius-pod-bu-9,Pending,minikube,minikube-m02,66,11
2024-06-11 15:41:52.379,aeneas-pod-bu-14,Pending,minikube,minikube,63,0
2024-06-11 15:41:52.388,julius-pod-bu-9,Pending,minikube,minikube-m02,66,11
2024-06-11 15:41:52.396,aeneas-pod-bu-14,Pending,minikube,minikube,63,0
2024-06-11 15:41:53.611,aeneas-pod-bu-12,Pending,minikube,minikube-m02,104,11
2024-06-11 15:41:53.626,aeneas-pod-bu-12,Pending,minikube,minikube-m02,104,11
2024-06-11 15:41:54.141,aeneas-pod-bu-14,Running,minikube,minikube,63,0
2024-06-11 15:41:54.279,julius-pod-bu-9,Running,minikube,minikube-m02,66,11
2024-06-11 15:41:55.082,aeneas-pod-bu-28,Pending,minikube,minikube,39,0
2024-06-11 15:41:55.106,aeneas-pod-bu-28,Pending,minikube,minikube,39,0
2024-06-11 15:41:55.318,aeneas-pod-bu-12,Running,minikube,minikube-m02,104,11
2024-06-11 15:41:56.431,aeneas-pod-bu-28,Running,minikube,minikube,39,0
2024-06-11 15:42:14.042,aeneas-pod-gu-392,Running,minikube-m02,minikube,113,11
2024-06-11 15:42:15.293,aeneas-pod-gu-392,Succeeded,minikube-m02,minikube,113,11
2024-06-11 15:42:16.116,aeneas-pod-gu-392,Succeeded,minikube-m02,minikube,113,11
2024-06-11 15:42:17.735,mrleo-pod-bu-15,Pending,minikube-m02,minikube,69,11
2024-06-11 15:42:17.768,mrleo-pod-bu-15,Pending,minikube-m02,minikube,69,11
2024-06-11 15:42:19.678,mrleo-pod-bu-15,Running,minikube-m02,minikube,69,11
2024-06-11 15:42:25.354,julius-pod-bu-29,Pending,minikube-m02,minikube-m02,103,0
2024-06-11 15:42:25.376,julius-pod-bu-29,Pending,minikube-m02,minikube-m02,103,0
2024-06-11 15:42:27.157,julius-pod-bu-29,Running,minikube-m02,minikube-m02,103,0
2024-06-11 15:43:14.500,aeneas-pod-gu-409,Running,minikube-m02,minikube,23,11
2024-06-11 15:43:16.034,aeneas-pod-gu-409,Succeeded,minikube-m02,minikube,23,11
2024-06-11 15:43:16.775,aeneas-pod-gu-409,Succeeded,minikube-m02,minikube,23,11
2024-06-11 15:43:18.565,aeneas-pod-bu-14,Running,minikube,minikube,63,0
2024-06-11 15:43:19.474,julius-pod-bu-31,Pending,minikube-m02,minikube-m02,106,0
2024-06-11 15:43:19.569,julius-pod-bu-31,Pending,minikube-m02,minikube-m02,106,0
2024-06-11 15:43:19.959,aeneas-pod-bu-14,Succeeded,minikube,minikube,63,0
2024-06-11 15:43:20.841,aeneas-pod-bu-14,Succeeded,minikube,minikube,63,0
2024-06-11 15:43:21.802,julius-pod-bu-31,Running,minikube-m02,minikube-m02,106,0
2024-06-11 15:43:22.026,aeneas-pod-bu-12,Running,minikube,minikube-m02,104,11
2024-06-11 15:43:23.512,aeneas-pod-bu-12,Succeeded,minikube,minikube-m02,104,11
2024-06-11 15:43:23.958,julius-pod-bu-40,Pending,minikube,minikube,82,0
2024-06-11 15:43:23.987,julius-pod-bu-40,Pending,minikube,minikube,82,0
2024-06-11 15:43:24.227,aeneas-pod-bu-12,Succeeded,minikube,minikube-m02,104,11
2024-06-11 15:43:25.354,julius-pod-bu-40,Running,minikube,minikube,82,0
2024-06-11 15:43:28.536,aeneas-pod-bu-28,Running,minikube,minikube,39,0
2024-06-11 15:43:29.609,julius-pod-bu-9,Running,minikube,minikube-m02,66,11
2024-06-11 15:43:29.839,aeneas-pod-bu-28,Succeeded,minikube,minikube,39,0
2024-06-11 15:43:30.682,aeneas-pod-bu-28,Succeeded,minikube,minikube,39,0
2024-06-11 15:43:30.897,julius-pod-bu-9,Succeeded,minikube,minikube-m02,66,11
2024-06-11 15:43:31.760,julius-pod-bu-9,Succeeded,minikube,minikube-m02,66,11
2024-06-11 15:43:32.277,mrleo-pod-bu-17,Pending,minikube,minikube-m02,36,11
2024-06-11 15:43:32.296,mrleo-pod-bu-17,Pending,minikube,minikube-m02,36,11
2024-06-11 15:43:34.080,mrleo-pod-bu-17,Running,minikube,minikube-m02,36,11
2024-06-11 15:43:34.786,aeneas-pod-bu-52,Pending,minikube,minikube-m02,89,11
2024-06-11 15:43:34.831,aeneas-pod-bu-52,Pending,minikube,minikube-m02,89,11
2024-06-11 15:43:36.323,aeneas-pod-bu-52,Running,minikube,minikube-m02,89,11
2024-06-11 15:43:40.324,julius-pod-bu-57,Pending,minikube-m02,minikube-m02,105,0
2024-06-11 15:43:40.335,julius-pod-bu-57,Pending,minikube-m02,minikube-m02,105,0
2024-06-11 15:43:42.087,julius-pod-bu-57,Running,minikube-m02,minikube-m02,105,0
2024-06-11 15:44:03.138,julius-pod-bu-29,Running,minikube-m02,minikube-m02,103,0
2024-06-11 15:44:04.426,julius-pod-bu-29,Succeeded,minikube-m02,minikube-m02,103,0
2024-06-11 15:44:05.191,julius-pod-bu-29,Succeeded,minikube-m02,minikube-m02,103,0
2024-06-11 15:44:17.886,mrleo-pod-bu-15,Running,minikube-m02,minikube,69,11
2024-06-11 15:44:19.328,mrleo-pod-bu-15,Succeeded,minikube-m02,minikube,69,11
2024-06-11 15:44:20.011,mrleo-pod-bu-15,Succeeded,minikube-m02,minikube,69,11
2024-06-11 15:44:20.069,mrleo-pod-bu-38,Pending,minikube-m02,minikube,67,11
2024-06-11 15:44:20.106,mrleo-pod-bu-38,Pending,minikube-m02,minikube,67,11
2024-06-11 15:44:22.329,mrleo-pod-bu-38,Running,minikube-m02,minikube,67,11
2024-06-11 15:44:44.075,julius-pod-bu-62,Pending,minikube-m02,minikube-m02,73,0
2024-06-11 15:44:44.098,julius-pod-bu-62,Pending,minikube-m02,minikube-m02,73,0
2024-06-11 15:44:45.917,julius-pod-bu-62,Running,minikube-m02,minikube-m02,73,0
2024-06-11 15:44:54.408,julius-pod-bu-31,Running,minikube-m02,minikube-m02,106,0
2024-06-11 15:44:55.670,julius-pod-bu-31,Succeeded,minikube-m02,minikube-m02,106,0
2024-06-11 15:44:56.518,julius-pod-bu-31,Succeeded,minikube-m02,minikube-m02,106,0
2024-06-11 15:45:00.794,julius-pod-bu-40,Running,minikube,minikube,82,0
2024-06-11 15:45:01.991,julius-pod-bu-40,Succeeded,minikube,minikube,82,0
2024-06-11 15:45:02.907,aeneas-pod-bu-52,Running,minikube,minikube-m02,89,11
2024-06-11 15:45:02.939,julius-pod-bu-40,Succeeded,minikube,minikube,82,0
2024-06-11 15:45:04.145,aeneas-pod-bu-52,Succeeded,minikube,minikube-m02,89,11
2024-06-11 15:45:04.336,aeneas-pod-bu-72,Pending,minikube,minikube-m02,19,11
2024-06-11 15:45:04.354,aeneas-pod-bu-72,Pending,minikube,minikube-m02,19,11
2024-06-11 15:45:05.024,aeneas-pod-bu-52,Succeeded,minikube,minikube-m02,89,11
2024-06-11 15:45:05.645,aeneas-pod-bu-78,Pending,minikube,minikube-m02,40,11
2024-06-11 15:45:05.677,aeneas-pod-bu-78,Pending,minikube,minikube-m02,40,11
2024-06-11 15:45:06.501,aeneas-pod-bu-72,Running,minikube,minikube-m02,19,11
2024-06-11 15:45:07.624,aeneas-pod-bu-78,Running,minikube,minikube-m02,40,11
2024-06-11 15:45:09.019,julius-pod-bu-57,Running,minikube-m02,minikube-m02,105,0
2024-06-11 15:45:10.290,julius-pod-bu-57,Succeeded,minikube-m02,minikube-m02,105,0
2024-06-11 15:45:11.125,julius-pod-bu-57,Succeeded,minikube-m02,minikube-m02,105,0
2024-06-11 15:45:13.219,mrleo-pod-bu-43,Pending,minikube-m02,minikube,40,11
2024-06-11 15:45:13.250,mrleo-pod-bu-43,Pending,minikube-m02,minikube,40,11
