timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-06 16:03:56.571,aeneas-pod-bu-1,Pending,minikube-m02,minikube-m02,322,0,
2024-12-06 16:03:56.582,aeneas-pod-bu-1,Pending,minikube-m02,minikube-m02,322,0,
2024-12-06 16:03:56.594,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 16:03:56.597,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 16:03:56.603,julius-pod-bu-5,Pending,minikube-m02,minikube-m02,203,0,
2024-12-06 16:03:56.608,mrleo-pod-gu-7,Pending,minikube,minikube,167,0,
2024-12-06 16:03:56.616,julius-pod-bu-5,Pending,minikube-m02,minikube-m02,203,0,
2024-12-06 16:03:56.622,mrleo-pod-be-9,Pending,minikube-m02,minikube-m02,159,0,
2024-12-06 16:03:56.626,mrleo-pod-gu-7,Pending,minikube,minikube,167,0,
2024-12-06 16:03:56.639,aeneas-pod-be-11,Pending,minikube-m02,minikube-m02,575,0,
2024-12-06 16:03:56.643,mrleo-pod-be-9,Pending,minikube-m02,minikube-m02,159,0,
2024-12-06 16:03:56.652,aeneas-pod-be-11,Pending,minikube-m02,minikube-m02,575,0,
2024-12-06 16:03:57.218,julius-pod-be-2,Pending,minikube-m02,minikube-m02,255,0,
2024-12-06 16:03:57.244,aeneas-pod-gu-6,Pending,minikube,minikube,516,0,
2024-12-06 16:03:57.267,julius-pod-be-2,Pending,minikube-m02,minikube-m02,255,0,
2024-12-06 16:03:57.273,aeneas-pod-gu-6,Pending,minikube,minikube,516,0,
2024-12-06 16:03:57.281,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 16:03:57.286,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 16:03:57.865,aeneas-pod-be-4,Pending,minikube-m02,minikube-m02,463,0,
2024-12-06 16:03:57.883,julius-pod-be-12,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:03:57.903,aeneas-pod-be-4,Pending,minikube-m02,minikube-m02,463,0,
2024-12-06 16:03:57.913,julius-pod-be-12,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:03:57.931,aeneas-pod-be-14,Pending,minikube-m02,minikube-m02,482,0,
2024-12-06 16:03:57.941,aeneas-pod-be-14,Pending,minikube-m02,minikube-m02,482,0,
2024-12-06 16:03:57.944,aeneas-pod-bu-16,Pending,minikube-m02,minikube-m02,387,0,
2024-12-06 16:03:57.976,aeneas-pod-bu-16,Pending,minikube-m02,minikube-m02,387,0,
2024-12-06 16:03:57.985,aeneas-pod-be-18,Pending,minikube-m02,minikube-m02,558,0,
2024-12-06 16:03:58.004,aeneas-pod-be-18,Pending,minikube-m02,minikube-m02,558,0,
2024-12-06 16:03:58.006,mrleo-pod-gu-20,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:03:58.011,mrleo-pod-gu-20,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:03:58.013,julius-pod-bu-22,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 16:03:58.016,julius-pod-bu-22,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 16:03:58.018,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 16:03:58.021,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 16:03:58.299,aeneas-pod-gu-6,Running,minikube,minikube,516,0,
2024-12-06 16:03:58.317,mrleo-pod-gu-7,Running,minikube,minikube,167,0,
2024-12-06 16:03:58.329,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 16:03:58.344,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 16:03:58.408,julius-pod-be-2,Running,minikube-m02,minikube-m02,255,0,
2024-12-06 16:03:58.428,julius-pod-bu-5,Running,minikube-m02,minikube-m02,203,0,
2024-12-06 16:03:58.743,mrleo-pod-be-9,Running,minikube-m02,minikube-m02,159,0,
2024-12-06 16:03:58.769,aeneas-pod-bu-1,Running,minikube-m02,minikube-m02,322,0,
2024-12-06 16:03:58.799,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 16:03:58.815,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 16:03:58.823,mrleo-pod-be-15,Pending,minikube-m02,minikube-m02,120,0,
2024-12-06 16:03:58.842,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 16:03:58.851,mrleo-pod-be-15,Pending,minikube-m02,minikube-m02,120,0,
