timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 17:13:48.872,julius-pod-gu-200,Pending,minikube,minikube-m02,62,11
2024-06-11 17:13:49.109,julius-pod-gu-171,Succeeded,minikube,minikube-m02,96,11
2024-06-11 17:13:50.152,julius-pod-gu-200,Running,minikube,minikube-m02,62,11
2024-06-11 17:13:51.185,julius-pod-gu-173,Running,minikube,minikube-m02,64,11
2024-06-11 17:13:52.333,julius-pod-gu-173,Succeeded,minikube,minikube-m02,64,11
2024-06-11 17:13:52.620,julius-pod-gu-212,Pending,minikube,minikube,65,0
2024-06-11 17:13:52.638,julius-pod-gu-212,Pending,minikube,minikube,65,0
2024-06-11 17:13:53.236,julius-pod-gu-173,Succeeded,minikube,minikube-m02,64,11
2024-06-11 17:13:54.257,julius-pod-gu-212,Running,minikube,minikube,65,0
2024-06-11 17:14:22.271,aeneas-pod-gu-73,Running,minikube-m02,minikube-m02,118,0
2024-06-11 17:14:23.434,aeneas-pod-gu-73,Succeeded,minikube-m02,minikube-m02,118,0
2024-06-11 17:14:23.793,aeneas-pod-gu-69,Pending,minikube-m02,minikube,86,11
2024-06-11 17:14:23.808,aeneas-pod-gu-69,Pending,minikube-m02,minikube,86,11
2024-06-11 17:14:24.457,aeneas-pod-gu-73,Succeeded,minikube-m02,minikube-m02,118,0
2024-06-11 17:14:25.483,aeneas-pod-gu-69,Running,minikube-m02,minikube,86,11
2024-06-11 17:14:43.758,mrleo-pod-gu-67,Running,minikube-m02,minikube-m02,93,0
2024-06-11 17:14:44.898,mrleo-pod-gu-67,Succeeded,minikube-m02,minikube-m02,93,0
2024-06-11 17:14:45.206,mrleo-pod-gu-76,Pending,minikube-m02,minikube,106,11
2024-06-11 17:14:45.224,mrleo-pod-gu-76,Pending,minikube-m02,minikube,106,11
2024-06-11 17:14:45.825,mrleo-pod-gu-67,Succeeded,minikube-m02,minikube-m02,93,0
2024-06-11 17:14:46.849,mrleo-pod-gu-76,Running,minikube-m02,minikube,106,11
2024-06-11 17:14:48.345,julius-pod-gu-187,Running,minikube,minikube,27,0
2024-06-11 17:14:49.516,julius-pod-gu-187,Succeeded,minikube,minikube,27,0
2024-06-11 17:14:49.826,julius-pod-gu-218,Pending,minikube,minikube,89,0
2024-06-11 17:14:49.846,julius-pod-gu-218,Pending,minikube,minikube,89,0
2024-06-11 17:14:50.557,julius-pod-gu-187,Succeeded,minikube,minikube,27,0
2024-06-11 17:14:51.580,julius-pod-gu-218,Running,minikube,minikube,89,0
2024-06-11 17:14:54.655,julius-pod-gu-200,Running,minikube,minikube-m02,62,11
2024-06-11 17:14:55.808,julius-pod-gu-200,Succeeded,minikube,minikube-m02,62,11
2024-06-11 17:14:56.070,julius-pod-gu-224,Pending,minikube,minikube-m02,85,11
