timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-11 00:27:46.191,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,6960
2024-12-11 00:27:46.285,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,7054
2024-12-11 00:27:47.252,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,22887
2024-12-11 00:27:47.615,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,20006
2024-12-11 00:27:47.746,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,22803
2024-12-11 00:27:48.016,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,7440
2024-12-11 00:27:48.624,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,22176
2024-12-11 00:27:48.656,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,15737
2024-12-11 00:27:49.094,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,15995
2024-12-11 00:27:49.175,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,16579
2024-12-11 00:27:49.522,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,15685
2024-12-11 00:27:49.760,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,20797
2024-12-11 00:27:49.819,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,18764
2024-12-11 00:27:50.176,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,20079
2024-12-11 00:27:50.297,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,21229
2024-12-11 00:27:50.838,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,19115
2024-12-11 00:27:51.418,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,15532
2024-12-11 00:27:51.817,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,23559
2024-12-11 00:27:52.041,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,25408
2024-12-11 00:27:52.106,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m04,128,41,22309
2024-12-11 00:27:52.500,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,23212
2024-12-11 00:27:52.560,mrleo-pod-bu-36,Succeeded,minikube-m04,minikube,75,26,22304
2024-12-11 00:27:52.808,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m04,128,41,25551
2024-12-11 00:27:53.182,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m04,129,41,21535
2024-12-11 00:27:53.332,julius-pod-be-12,Succeeded,minikube-m04,minikube-m04,186,0,15718
2024-12-11 00:27:53.399,julius-pod-be-2,Succeeded,minikube-m04,minikube-m04,255,0,17711
2024-12-11 00:27:53.513,mrleo-pod-bu-36,Succeeded,minikube-m04,minikube,75,26,20921
2024-12-11 00:27:53.873,julius-pod-be-12,Succeeded,minikube-m04,minikube-m04,186,0,26944
2024-12-11 00:27:53.950,julius-pod-be-2,Succeeded,minikube-m04,minikube-m04,255,0,22880
2024-12-11 00:27:54.075,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m04,129,41,19856
2024-12-11 00:27:54.177,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,25806
2024-12-11 00:27:54.535,julius-pod-bu-22,Succeeded,minikube-m03,minikube-m03,281,0,25609
2024-12-11 00:27:54.573,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,21681
2024-12-11 00:27:55.302,julius-pod-bu-22,Succeeded,minikube-m03,minikube-m03,281,0,29709
2024-12-11 00:27:55.690,julius-pod-be-34,Succeeded,minikube-m02,minikube-m02,345,0,24290
2024-12-11 00:27:55.904,mrleo-pod-bu-55,Succeeded,minikube-m04,minikube-m03,135,41,15473
2024-12-11 00:27:55.937,mrleo-pod-gu-43,Succeeded,minikube,minikube-m03,157,31,26110
2024-12-11 00:27:56.381,julius-pod-be-30,Succeeded,minikube,minikube,226,0,23220
