timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-11 10:54:55.519,mrleo-pod-be-9,Succeeded,minikube-m07,minikube-m04,159,0,12629
2024-12-11 10:54:56.099,mrleo-pod-gu-7,Succeeded,minikube,minikube-m03,167,0,13204
2024-12-11 10:54:56.364,mrleo-pod-be-10,Succeeded,minikube-m02,minikube,113,0,13468
2024-12-11 10:54:56.666,mrleo-pod-be-9,Succeeded,minikube-m05,minikube,159,0,18394
2024-12-11 10:54:56.860,mrleo-pod-gu-7,Succeeded,minikube-m06,minikube,167,0,22298
2024-12-11 10:54:57.238,mrleo-pod-gu-20,Succeeded,minikube-m05,minikube-m07,186,0,13010
2024-12-11 10:54:57.525,mrleo-pod-be-10,Succeeded,minikube-m06,minikube-m02,113,0,20856
2024-12-11 10:54:58.380,mrleo-pod-gu-20,Succeeded,minikube,minikube-m02,186,0,18716
2024-12-11 10:54:58.846,mrleo-pod-gu-19,Succeeded,minikube-m02,minikube-m06,133,0,22166
2024-12-11 10:54:58.982,mrleo-pod-be-8,Succeeded,minikube-m04,minikube-m06,295,0,22728
2024-12-11 10:54:59.107,mrleo-pod-be-15,Succeeded,minikube-m05,minikube-m03,120,0,20527
2024-12-11 10:54:59.668,mrleo-pod-be-8,Succeeded,minikube-m06,minikube-m08,295,0,22375
2024-12-11 10:54:59.775,mrleo-pod-gu-19,Succeeded,minikube-m07,minikube-m06,133,0,20249
2024-12-11 10:54:59.910,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m08,120,0,21523
2024-12-11 10:55:00.152,mrleo-pod-be-32,Succeeded,minikube-m04,minikube-m08,161,0,19463
2024-12-11 10:55:01.166,julius-pod-be-2,Succeeded,minikube-m07,minikube-m06,255,0,24226
2024-12-11 10:55:01.226,mrleo-pod-be-32,Succeeded,minikube-m03,minikube-m06,161,0,21526
2024-12-11 10:55:01.289,mrleo-pod-gu-17,Succeeded,minikube-m05,minikube-m02,128,41,22605
2024-12-11 10:55:01.378,mrleo-pod-bu-36,Succeeded,minikube-m07,minikube,75,21,19520
2024-12-11 10:55:01.442,julius-pod-bu-3,Succeeded,minikube-m02,minikube-m07,465,0,23823
2024-12-11 10:55:01.461,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m04,129,21,22592
2024-12-11 10:55:01.468,julius-pod-bu-5,Succeeded,minikube-m08,minikube-m06,203,0,20166
2024-12-11 10:55:01.634,julius-pod-be-2,Succeeded,minikube-m08,minikube-m07,255,0,24348
2024-12-11 10:55:01.673,mrleo-pod-gu-17,Succeeded,minikube-m07,minikube-m02,128,41,20622
2024-12-11 10:55:01.872,julius-pod-be-12,Succeeded,minikube-m02,minikube-m08,186,0,22136
2024-12-11 10:55:02.140,mrleo-pod-bu-36,Succeeded,minikube-m08,minikube-m03,75,21,18432
2024-12-11 10:55:02.175,julius-pod-bu-3,Succeeded,minikube-m02,minikube-m08,465,0,21800
2024-12-11 10:55:02.180,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m04,129,21,22067
2024-12-11 10:55:02.369,julius-pod-bu-5,Succeeded,minikube-m04,minikube-m08,203,0,21599
