timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-06 19:51:29.945,aeneas-pod-bu-1,Pending,minikube-m03,minikube-m03,322,0,
2024-12-06 19:51:29.958,aeneas-pod-bu-1,Pending,minikube-m03,minikube-m03,322,0,
2024-12-06 19:51:29.972,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 19:51:29.977,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 19:51:29.984,julius-pod-bu-5,Pending,minikube-m03,minikube-m03,203,0,
2024-12-06 19:51:29.991,julius-pod-bu-5,Pending,minikube-m03,minikube-m03,203,0,
2024-12-06 19:51:29.999,mrleo-pod-gu-7,Pending,minikube-m02,minikube-m02,167,0,
2024-12-06 19:51:30.037,mrleo-pod-gu-7,Pending,minikube-m02,minikube-m02,167,0,
2024-12-06 19:51:30.040,mrleo-pod-be-9,Pending,minikube-m03,minikube-m03,159,0,
2024-12-06 19:51:30.045,mrleo-pod-be-9,Pending,minikube-m03,minikube-m03,159,0,
2024-12-06 19:51:30.053,aeneas-pod-be-11,Pending,minikube-m04,minikube-m04,575,0,
2024-12-06 19:51:30.068,aeneas-pod-be-11,Pending,minikube-m04,minikube-m04,575,0,
2024-12-06 19:51:30.645,julius-pod-be-2,Pending,minikube-m04,minikube-m04,255,0,
2024-12-06 19:51:30.691,julius-pod-be-2,Pending,minikube-m04,minikube-m04,255,0,
2024-12-06 19:51:30.704,aeneas-pod-gu-6,Pending,minikube-m02,minikube-m02,516,0,
2024-12-06 19:51:30.726,aeneas-pod-gu-6,Pending,minikube-m02,minikube-m02,516,0,
2024-12-06 19:51:30.736,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 19:51:30.743,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 19:51:31.136,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 19:51:31.314,aeneas-pod-be-4,Pending,minikube-m03,minikube-m03,463,0,
2024-12-06 19:51:31.336,aeneas-pod-be-4,Pending,minikube-m03,minikube-m03,463,0,
2024-12-06 19:51:31.346,julius-pod-be-12,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:31.375,julius-pod-be-12,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:31.387,aeneas-pod-be-14,Pending,minikube-m04,minikube-m04,482,0,
2024-12-06 19:51:31.394,aeneas-pod-be-14,Pending,minikube-m04,minikube-m04,482,0,
2024-12-06 19:51:31.420,aeneas-pod-bu-16,Pending,minikube-m04,minikube-m04,387,0,
2024-12-06 19:51:31.430,aeneas-pod-bu-16,Pending,minikube-m04,minikube-m04,387,0,
2024-12-06 19:51:31.433,aeneas-pod-be-18,Pending,minikube-m04,minikube-m04,558,0,
2024-12-06 19:51:31.437,aeneas-pod-be-18,Pending,minikube-m04,minikube-m04,558,0,
2024-12-06 19:51:31.448,mrleo-pod-gu-20,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:31.456,mrleo-pod-gu-20,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:31.469,julius-pod-bu-22,Pending,minikube-m03,minikube-m03,281,0,
2024-12-06 19:51:31.472,julius-pod-bu-22,Pending,minikube-m03,minikube-m03,281,0,
2024-12-06 19:51:31.485,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 19:51:31.494,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 19:51:31.636,aeneas-pod-gu-6,Running,minikube-m02,minikube-m02,516,0,
2024-12-06 19:51:31.651,mrleo-pod-gu-7,Running,minikube-m02,minikube-m02,167,0,
2024-12-06 19:51:31.693,aeneas-pod-bu-1,Running,minikube-m03,minikube-m03,322,0,
2024-12-06 19:51:31.707,julius-pod-bu-5,Running,minikube-m03,minikube-m03,203,0,
2024-12-06 19:51:31.729,mrleo-pod-be-9,Running,minikube-m03,minikube-m03,159,0,
2024-12-06 19:51:31.750,aeneas-pod-be-11,Running,minikube-m04,minikube-m04,575,0,
2024-12-06 19:51:31.768,julius-pod-be-2,Running,minikube-m04,minikube-m04,255,0,
2024-12-06 19:51:32.192,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 19:51:32.214,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 19:51:32.227,mrleo-pod-be-15,Pending,minikube-m03,minikube-m03,120,0,
2024-12-06 19:51:32.249,mrleo-pod-be-15,Pending,minikube-m03,minikube-m03,120,0,
2024-12-06 19:51:32.260,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 19:51:32.301,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 19:51:32.304,aeneas-pod-be-23,Pending,minikube-m03,minikube-m03,323,0,
2024-12-06 19:51:32.310,aeneas-pod-be-23,Pending,minikube-m03,minikube-m03,323,0,
2024-12-06 19:51:32.340,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 19:51:33.064,aeneas-pod-bu-13,Pending,minikube-m02,minikube-m02,464,0,
2024-12-06 19:51:33.088,aeneas-pod-bu-21,Pending,minikube-m03,minikube-m03,399,0,
2024-12-06 19:51:33.096,aeneas-pod-bu-13,Pending,minikube-m02,minikube-m02,464,0,
2024-12-06 19:51:33.111,aeneas-pod-bu-21,Pending,minikube-m03,minikube-m03,399,0,
2024-12-06 19:51:33.149,aeneas-pod-be-26,Pending,minikube-m04,minikube-m04,300,0,
2024-12-06 19:51:33.164,julius-pod-be-28,Pending,minikube-m03,minikube-m03,209,0,
2024-12-06 19:51:33.171,julius-pod-be-12,Running,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:33.203,aeneas-pod-be-26,Pending,minikube-m04,minikube-m04,300,0,
2024-12-06 19:51:33.223,julius-pod-be-28,Pending,minikube-m03,minikube-m03,209,0,
2024-12-06 19:51:33.239,julius-pod-be-30,Pending,minikube,minikube,226,0,
2024-12-06 19:51:33.243,julius-pod-be-30,Pending,minikube,minikube,226,0,
2024-12-06 19:51:33.248,aeneas-pod-bu-16,Running,minikube-m04,minikube-m04,387,0,
2024-12-06 19:51:33.251,mrleo-pod-be-32,Pending,minikube,minikube,161,0,
2024-12-06 19:51:33.255,julius-pod-bu-22,Running,minikube-m03,minikube-m03,281,0,
2024-12-06 19:51:33.258,aeneas-pod-be-14,Running,minikube-m04,minikube-m04,482,0,
2024-12-06 19:51:33.262,mrleo-pod-be-32,Pending,minikube,minikube,161,0,
2024-12-06 19:51:33.264,julius-pod-be-34,Pending,minikube-m02,minikube-m02,345,0,
2024-12-06 19:51:33.267,aeneas-pod-be-4,Running,minikube-m03,minikube-m03,463,0,
2024-12-06 19:51:33.271,aeneas-pod-be-18,Running,minikube-m04,minikube-m04,558,0,
2024-12-06 19:51:33.274,julius-pod-be-34,Pending,minikube-m02,minikube-m02,345,0,
2024-12-06 19:51:33.278,mrleo-pod-gu-20,Running,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:33.464,mrleo-pod-be-8,Running,minikube,minikube,295,0,
2024-12-06 19:51:33.482,julius-pod-bu-24,Running,minikube,minikube,193,0,
2024-12-06 19:51:33.495,mrleo-pod-gu-19,Running,minikube,minikube,133,0,
2024-12-06 19:51:34.174,mrleo-pod-gu-17,Pending,minikube-m02,minikube-m03,128,21,
2024-12-06 19:51:34.188,mrleo-pod-gu-17,Pending,minikube-m02,minikube-m03,128,21,
2024-12-06 19:51:34.206,julius-pod-gu-27,Pending,minikube,minikube,245,0,
2024-12-06 19:51:34.216,julius-pod-gu-27,Pending,minikube,minikube,245,0,
2024-12-06 19:51:34.228,julius-pod-be-31,Pending,minikube-m02,minikube-m02,136,0,
2024-12-06 19:51:34.250,julius-pod-be-31,Pending,minikube-m02,minikube-m02,136,0,
2024-12-06 19:51:34.255,aeneas-pod-be-23,Running,minikube-m03,minikube-m03,323,0,
2024-12-06 19:51:34.268,aeneas-pod-be-26,Running,minikube-m04,minikube-m04,300,0,
2024-12-06 19:51:34.272,julius-pod-be-28,Running,minikube-m03,minikube-m03,209,0,
2024-12-06 19:51:34.285,aeneas-pod-bu-21,Running,minikube-m03,minikube-m03,399,0,
2024-12-06 19:51:34.298,mrleo-pod-be-15,Running,minikube-m03,minikube-m03,120,0,
2024-12-06 19:51:34.517,julius-pod-be-30,Running,minikube,minikube,226,0,
2024-12-06 19:51:34.535,mrleo-pod-be-32,Running,minikube,minikube,161,0,
2024-12-06 19:51:35.096,julius-pod-be-34,Running,minikube-m02,minikube-m02,345,0,
2024-12-06 19:51:35.111,aeneas-pod-bu-13,Running,minikube-m02,minikube-m02,464,0,
2024-12-06 19:51:35.116,mrleo-pod-gu-7,Running,minikube-m02,minikube-m02,167,0,
2024-12-06 19:51:35.122,aeneas-pod-bu-25,Pending,minikube-m04,minikube-m04,354,0,
2024-12-06 19:51:35.140,mrleo-pod-gu-33,Pending,minikube-m02,minikube-m03,129,21,
2024-12-06 19:51:35.147,aeneas-pod-bu-25,Pending,minikube-m04,minikube-m04,354,0,
2024-12-06 19:51:35.158,julius-pod-be-37,Pending,minikube-m04,minikube-m04,206,0,
2024-12-06 19:51:35.164,mrleo-pod-gu-33,Pending,minikube-m02,minikube-m03,129,21,
2024-12-06 19:51:35.168,julius-pod-be-37,Pending,minikube-m04,minikube-m04,206,0,
2024-12-06 19:51:35.176,julius-pod-be-39,Pending,minikube-m02,minikube-m02,325,0,
2024-12-06 19:51:35.183,julius-pod-be-39,Pending,minikube-m02,minikube-m02,325,0,
2024-12-06 19:51:35.189,julius-pod-bu-41,Pending,minikube-m02,minikube-m02,183,0,
2024-12-06 19:51:35.198,julius-pod-bu-41,Pending,minikube-m02,minikube-m02,183,0,
2024-12-06 19:51:35.335,mrleo-pod-be-9,Running,minikube-m03,minikube-m03,159,0,
2024-12-06 19:51:35.563,julius-pod-gu-27,Running,minikube,minikube,245,0,
2024-12-06 19:51:35.584,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 19:51:36.190,julius-pod-gu-40,Pending,minikube-m04,minikube-m04,225,0,
2024-12-06 19:51:36.215,julius-pod-gu-40,Pending,minikube-m04,minikube-m04,225,0,
2024-12-06 19:51:36.310,julius-pod-bu-41,Running,minikube-m02,minikube-m02,183,0,
2024-12-06 19:51:36.328,aeneas-pod-bu-25,Running,minikube-m04,minikube-m04,354,0,
2024-12-06 19:51:36.346,julius-pod-be-31,Running,minikube-m02,minikube-m02,136,0,
2024-12-06 19:51:36.353,mrleo-pod-gu-20,Running,minikube-m04,minikube-m04,186,0,
2024-12-06 19:51:36.359,mrleo-pod-gu-17,Running,minikube-m02,minikube-m03,128,21,
2024-12-06 19:51:36.370,julius-pod-be-37,Running,minikube-m04,minikube-m04,206,0,
2024-12-06 19:51:36.379,mrleo-pod-gu-33,Running,minikube-m02,minikube-m03,129,21,
2024-12-06 19:51:36.511,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,6646
2024-12-06 19:51:36.517,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,16652
2024-12-06 19:51:36.772,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,6907
2024-12-06 19:51:37.034,aeneas-pod-gu-29,Pending,minikube,minikube,347,0,
2024-12-06 19:51:37.046,aeneas-pod-gu-38,Pending,minikube-m03,minikube,502,31,
2024-12-06 19:51:37.057,aeneas-pod-gu-29,Pending,minikube,minikube,347,0,
2024-12-06 19:51:37.064,aeneas-pod-gu-44,Pending,minikube-m02,minikube-m03,617,21,
2024-12-06 19:51:37.068,aeneas-pod-gu-38,Pending,minikube-m03,minikube,502,31,
2024-12-06 19:51:37.074,aeneas-pod-gu-44,Pending,minikube-m02,minikube-m03,617,21,
2024-12-06 19:51:37.075,julius-pod-bu-49,Pending,minikube-m02,minikube-m02,126,0,
2024-12-06 19:51:37.085,julius-pod-bu-49,Pending,minikube-m02,minikube-m02,126,0,
2024-12-06 19:51:37.093,julius-pod-bu-53,Pending,minikube-m03,minikube-m02,353,21,
2024-12-06 19:51:37.106,julius-pod-bu-53,Pending,minikube-m03,minikube-m02,353,21,
2024-12-06 19:51:37.354,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,7489
2024-12-06 19:51:37.364,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,17504
2024-12-06 19:51:37.377,mrleo-pod-be-15,Running,minikube-m03,minikube-m03,120,0,
2024-12-06 19:51:37.383,julius-pod-gu-40,Running,minikube-m04,minikube-m04,225,0,
2024-12-06 19:51:37.390,julius-pod-be-39,Running,minikube-m02,minikube-m02,325,0,
2024-12-06 19:51:37.576,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,16382
2024-12-06 19:51:37.649,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,7794
2024-12-06 19:51:37.696,mrleo-pod-gu-19,Running,minikube,minikube,133,0,
2024-12-06 19:51:37.742,mrleo-pod-be-8,Running,minikube,minikube,295,0,
2024-12-06 19:51:38.080,julius-pod-bu-35,Pending,minikube,minikube-m03,281,31,
2024-12-06 19:51:38.101,julius-pod-be-50,Pending,minikube-m04,minikube-m04,221,0,
2024-12-06 19:51:38.117,julius-pod-bu-35,Pending,minikube,minikube-m03,281,31,
2024-12-06 19:51:38.135,julius-pod-be-50,Pending,minikube-m04,minikube-m04,221,0,
2024-12-06 19:51:38.436,julius-pod-bu-53,Running,minikube-m03,minikube-m02,353,21,
2024-12-06 19:51:38.447,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,7248
2024-12-06 19:51:38.479,aeneas-pod-gu-44,Running,minikube-m02,minikube-m03,617,21,
2024-12-06 19:51:38.498,aeneas-pod-gu-38,Running,minikube-m03,minikube,502,31,
2024-12-06 19:51:38.506,julius-pod-bu-49,Running,minikube-m02,minikube-m02,126,0,
2024-12-06 19:51:38.635,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,17437
