timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-08 17:39:02.842,mrleo-pod-gu-7,Succeeded,minikube-m08,minikube-m08,167,0,13824
2024-12-08 17:39:03.044,mrleo-pod-be-9,Succeeded,minikube-m06,minikube-m06,159,0,14922
2024-12-08 17:39:03.862,mrleo-pod-gu-7,Succeeded,minikube-m04,minikube-m04,167,0,12761
2024-12-08 17:39:03.904,mrleo-pod-be-9,Succeeded,minikube-m06,minikube-m06,159,0,14347
2024-12-08 17:39:04.797,mrleo-pod-be-10,Succeeded,minikube-m08,minikube-m08,113,0,16137
2024-12-08 17:39:05.207,mrleo-pod-gu-20,Succeeded,minikube-m05,minikube-m08,186,41,16401
2024-12-08 17:39:05.608,mrleo-pod-be-10,Succeeded,minikube-m03,minikube-m03,113,0,16324
2024-12-08 17:39:05.743,julius-pod-bu-3,Succeeded,minikube-m03,minikube-m03,465,0,18580
2024-12-08 17:39:06.045,mrleo-pod-gu-20,Succeeded,minikube,minikube-m04,186,41,16986
2024-12-08 17:39:06.457,mrleo-pod-be-8,Succeeded,minikube-m06,minikube-m07,295,21,15625
2024-12-08 17:39:06.489,mrleo-pod-be-15,Succeeded,minikube-m02,minikube-m06,120,21,15366
2024-12-08 17:39:06.648,julius-pod-bu-5,Succeeded,minikube-m04,minikube-m04,203,0,18334
2024-12-08 17:39:06.660,mrleo-pod-gu-19,Succeeded,minikube-m06,minikube-m08,133,26,16189
2024-12-08 17:39:06.710,julius-pod-bu-3,Succeeded,minikube-m07,minikube-m07,465,0,18471
2024-12-08 17:39:07.222,mrleo-pod-be-15,Succeeded,minikube-m07,minikube-m03,120,21,18299
2024-12-08 17:39:07.253,mrleo-pod-be-8,Succeeded,minikube-m06,minikube-m04,295,21,22607
2024-12-08 17:39:07.298,julius-pod-bu-5,Succeeded,minikube-m04,minikube-m04,203,0,16331
2024-12-08 17:39:07.436,mrleo-pod-be-32,Succeeded,minikube-m08,minikube-m02,161,21,13763
2024-12-08 17:39:07.447,mrleo-pod-gu-19,Succeeded,minikube,minikube-m05,133,26,19452
2024-12-08 17:39:07.667,julius-pod-be-12,Succeeded,minikube-m07,minikube-m07,186,0,18952
2024-12-08 17:39:07.700,julius-pod-be-2,Succeeded,minikube,minikube,255,0,18588
2024-12-08 17:39:08.085,julius-pod-bu-24,Succeeded,minikube-m07,minikube-m07,193,0,19002
2024-12-08 17:39:08.305,mrleo-pod-be-32,Succeeded,minikube-m06,minikube-m03,161,21,15918
2024-12-08 17:39:08.669,julius-pod-be-2,Succeeded,minikube-m08,minikube-m08,255,0,24876
2024-12-08 17:39:08.703,julius-pod-be-12,Succeeded,minikube-m08,minikube-m08,186,0,19672
2024-12-08 17:39:08.972,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,17008
2024-12-08 17:39:08.977,julius-pod-bu-22,Succeeded,minikube-m03,minikube-m03,281,0,23362
2024-12-08 17:39:09.093,mrleo-pod-gu-17,Succeeded,minikube-m06,minikube-m07,128,41,18439
2024-12-08 17:39:09.673,julius-pod-bu-22,Succeeded,minikube-m04,minikube-m04,281,0,17326
