timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-11 01:00:43.184,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,6424
2024-12-11 01:00:43.626,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,6867
2024-12-11 01:00:44.224,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,7469
2024-12-11 01:00:44.492,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,7733
2024-12-11 01:00:44.920,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,18485
2024-12-11 01:00:45.604,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,21630
2024-12-11 01:00:46.064,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,16967
2024-12-11 01:00:46.154,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,14197
2024-12-11 01:00:46.752,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,15410
2024-12-11 01:00:47.393,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,23482
2024-12-11 01:00:47.518,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,21027
2024-12-11 01:00:47.590,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,19042
2024-12-11 01:00:47.690,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,15948
2024-12-11 01:00:47.751,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,22518
2024-12-11 01:00:48.131,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,19916
2024-12-11 01:00:48.762,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,12628
2024-12-11 01:00:49.060,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m03,128,0,14214
2024-12-11 01:00:49.104,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,20903
2024-12-11 01:00:49.663,mrleo-pod-bu-36,Succeeded,minikube-m04,minikube-m04,75,0,7960
2024-12-11 01:00:49.745,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m03,128,0,17860
2024-12-11 01:00:49.764,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,22943
2024-12-11 01:00:49.949,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m03,129,0,16757
2024-12-11 01:00:50.576,mrleo-pod-bu-36,Succeeded,minikube-m04,minikube-m04,75,0,18051
2024-12-11 01:00:51.033,julius-pod-be-2,Succeeded,minikube-m04,minikube-m04,255,0,22276
2024-12-11 01:00:51.041,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m03,129,0,25320
2024-12-11 01:00:51.056,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,25863
2024-12-11 01:00:51.372,julius-pod-bu-22,Succeeded,minikube-m03,minikube-m03,281,0,25499
2024-12-11 01:00:51.767,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,18404
2024-12-11 01:00:51.913,mrleo-pod-gu-43,Succeeded,minikube,minikube-m02,157,21,16334
2024-12-11 01:00:51.927,julius-pod-be-2,Succeeded,minikube-m04,minikube-m04,255,0,29886
2024-12-11 01:00:52.223,julius-pod-bu-22,Succeeded,minikube-m03,minikube-m03,281,0,23649
2024-12-11 01:00:52.273,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,23738
2024-12-11 01:00:52.369,julius-pod-be-12,Succeeded,minikube-m04,minikube-m04,186,0,20776
2024-12-11 01:00:52.416,mrleo-pod-bu-55,Succeeded,minikube-m04,minikube-m04,135,0,14547
2024-12-11 01:00:52.659,mrleo-pod-gu-43,Succeeded,minikube,minikube-m02,157,21,13496
2024-12-11 01:00:52.954,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,24402
2024-12-11 01:00:53.326,mrleo-pod-bu-55,Succeeded,minikube-m04,minikube-m04,135,0,13641
2024-12-11 01:00:53.465,julius-pod-be-12,Succeeded,minikube-m04,minikube-m04,186,0,24568
2024-12-11 01:00:53.592,julius-pod-be-30,Succeeded,minikube,minikube,226,0,24610
2024-12-11 01:00:54.185,julius-pod-be-34,Succeeded,minikube-m02,minikube-m02,345,0,29195
2024-12-11 01:00:54.305,julius-pod-be-28,Succeeded,minikube-m03,minikube-m03,209,0,27099
2024-12-11 01:00:54.476,julius-pod-be-30,Succeeded,minikube,minikube,226,0,19063
2024-12-11 01:00:54.810,julius-pod-gu-27,Succeeded,minikube,minikube,245,0,21695
2024-12-11 01:00:54.976,julius-pod-be-28,Succeeded,minikube-m03,minikube-m03,209,0,25858
2024-12-11 01:00:55.109,julius-pod-be-34,Succeeded,minikube-m02,minikube-m02,345,0,31067
2024-12-11 01:00:55.328,julius-pod-be-31,Succeeded,minikube-m02,minikube-m02,136,0,28109
2024-12-11 01:00:55.521,julius-pod-gu-27,Succeeded,minikube,minikube,245,0,23691
2024-12-11 01:00:56.193,mrleo-pod-gu-47,Succeeded,minikube-m02,minikube,141,21,25958
2024-12-11 01:00:56.247,julius-pod-be-31,Succeeded,minikube-m02,minikube-m02,136,0,28138
2024-12-11 01:00:56.598,julius-pod-gu-40,Succeeded,minikube-m04,minikube-m04,225,0,29557
2024-12-11 01:00:56.658,julius-pod-bu-41,Succeeded,minikube-m02,minikube-m02,183,0,18571
2024-12-11 01:00:56.918,mrleo-pod-gu-47,Succeeded,minikube-m02,minikube,141,21,20918
2024-12-11 01:00:57.541,julius-pod-gu-40,Succeeded,minikube-m04,minikube-m04,225,0,25656
2024-12-11 01:00:57.607,julius-pod-bu-35,Succeeded,minikube-m03,minikube-m03,281,0,25362
2024-12-11 01:00:57.642,mrleo-pod-gu-52,Succeeded,minikube-m02,minikube-m03,197,21,21549
2024-12-11 01:00:57.680,julius-pod-bu-41,Succeeded,minikube-m02,minikube-m02,183,0,24407
2024-12-11 01:00:57.827,julius-pod-be-37,Succeeded,minikube-m04,minikube-m04,206,0,26397
2024-12-11 01:00:57.950,julius-pod-bu-53,Succeeded,minikube-m02,minikube-m02,353,0,26255
2024-12-11 01:00:58.329,julius-pod-bu-35,Succeeded,minikube-m03,minikube-m03,281,0,27097
2024-12-11 01:00:58.368,mrleo-pod-gu-52,Succeeded,minikube-m02,minikube-m03,197,21,18015
2024-12-11 01:00:58.516,julius-pod-be-37,Succeeded,minikube-m04,minikube-m04,206,0,22299
2024-12-11 01:00:58.768,julius-pod-bu-53,Succeeded,minikube-m02,minikube-m02,353,0,21885
2024-12-11 01:00:58.993,julius-pod-be-50,Succeeded,minikube-m04,minikube-m04,221,0,20984
2024-12-11 01:00:59.168,julius-pod-bu-49,Succeeded,minikube-m02,minikube-m02,126,0,22853
2024-12-11 01:00:59.620,julius-pod-be-50,Succeeded,minikube-m04,minikube-m04,221,0,19046
2024-12-11 01:01:00.037,julius-pod-bu-49,Succeeded,minikube-m02,minikube-m02,126,0,27027
2024-12-11 01:01:00.433,julius-pod-be-39,Succeeded,minikube-m02,minikube-m02,325,0,22961
2024-12-11 01:01:00.481,julius-pod-be-64,Succeeded,minikube-m02,minikube-m02,604,0,26669
2024-12-11 01:01:00.818,julius-pod-be-67,Succeeded,minikube-m04,minikube-m03,175,41,23245
2024-12-11 01:01:00.984,julius-pod-gu-60,Succeeded,minikube-m02,minikube,286,21,26796
2024-12-11 01:01:01.104,julius-pod-be-39,Succeeded,minikube-m02,minikube-m02,325,0,32572
