timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-06 20:14:23.869,aeneas-pod-bu-1,Pending,minikube-m03,minikube-m03,322,0,
2024-12-06 20:14:23.883,aeneas-pod-bu-1,Pending,minikube-m03,minikube-m03,322,0,
2024-12-06 20:14:23.889,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 20:14:23.894,julius-pod-bu-5,Pending,minikube-m03,minikube-m03,203,0,
2024-12-06 20:14:23.902,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 20:14:23.910,mrleo-pod-gu-7,Pending,minikube-m02,minikube-m02,167,0,
2024-12-06 20:14:23.915,julius-pod-bu-5,Pending,minikube-m03,minikube-m03,203,0,
2024-12-06 20:14:23.921,mrleo-pod-be-9,Pending,minikube-m03,minikube-m03,159,0,
2024-12-06 20:14:23.939,mrleo-pod-gu-7,Pending,minikube-m02,minikube-m02,167,0,
2024-12-06 20:14:23.945,mrleo-pod-be-9,Pending,minikube-m03,minikube-m03,159,0,
2024-12-06 20:14:23.947,aeneas-pod-be-11,Pending,minikube-m04,minikube-m04,575,0,
2024-12-06 20:14:23.951,aeneas-pod-be-11,Pending,minikube-m04,minikube-m04,575,0,
2024-12-06 20:14:24.557,julius-pod-be-2,Pending,minikube-m04,minikube-m04,255,0,
2024-12-06 20:14:24.574,aeneas-pod-gu-6,Pending,minikube-m02,minikube-m02,516,0,
2024-12-06 20:14:24.597,julius-pod-be-2,Pending,minikube-m04,minikube-m04,255,0,
2024-12-06 20:14:24.606,aeneas-pod-gu-6,Pending,minikube-m02,minikube-m02,516,0,
2024-12-06 20:14:24.617,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 20:14:24.638,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 20:14:24.973,aeneas-pod-be-11,Running,minikube-m04,minikube-m04,575,0,
2024-12-06 20:14:25.220,aeneas-pod-be-4,Pending,minikube-m03,minikube-m03,463,0,
2024-12-06 20:14:25.241,aeneas-pod-be-4,Pending,minikube-m03,minikube-m03,463,0,
2024-12-06 20:14:25.257,julius-pod-be-12,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 20:14:25.262,julius-pod-be-12,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 20:14:25.268,aeneas-pod-be-14,Pending,minikube-m04,minikube-m04,482,0,
2024-12-06 20:14:25.272,aeneas-pod-be-14,Pending,minikube-m04,minikube-m04,482,0,
2024-12-06 20:14:25.299,aeneas-pod-bu-16,Pending,minikube-m04,minikube-m04,387,0,
2024-12-06 20:14:25.302,aeneas-pod-be-18,Pending,minikube-m04,minikube-m04,558,0,
2024-12-06 20:14:25.319,aeneas-pod-bu-16,Pending,minikube-m04,minikube-m04,387,0,
2024-12-06 20:14:25.338,aeneas-pod-be-18,Pending,minikube-m04,minikube-m04,558,0,
2024-12-06 20:14:25.362,mrleo-pod-gu-20,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 20:14:25.373,mrleo-pod-gu-20,Pending,minikube-m04,minikube-m04,186,0,
2024-12-06 20:14:25.381,julius-pod-bu-22,Pending,minikube-m03,minikube-m03,281,0,
2024-12-06 20:14:25.400,julius-pod-bu-22,Pending,minikube-m03,minikube-m03,281,0,
2024-12-06 20:14:25.402,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 20:14:25.405,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 20:14:25.539,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 20:14:25.553,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 20:14:25.565,aeneas-pod-gu-6,Running,minikube-m02,minikube-m02,516,0,
2024-12-06 20:14:25.580,mrleo-pod-gu-7,Running,minikube-m02,minikube-m02,167,0,
2024-12-06 20:14:25.659,aeneas-pod-bu-1,Running,minikube-m03,minikube-m03,322,0,
2024-12-06 20:14:25.675,julius-pod-bu-5,Running,minikube-m03,minikube-m03,203,0,
2024-12-06 20:14:25.695,mrleo-pod-be-9,Running,minikube-m03,minikube-m03,159,0,
2024-12-06 20:14:26.123,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 20:14:26.159,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 20:14:26.169,mrleo-pod-be-15,Pending,minikube-m03,minikube-m03,120,0,
